id,name,typecode,addr,gcj,wgs,cell_id,wgs_lng,wgs_lat,kind
B0FFFI9H9S,舒悦酒店式公寓(上海青年城9号公馆店),100100,九亭镇沪松公路1399弄69号2004室,"121.319715,31.136984","121.315199,31.138974",5128,121.315199,31.138974,hotel
B0J259JU4E,上海九亭中心柚米寓,100200,滨亭路与九里亭路交叉口东南120米,"121.316875,31.141025","121.312365,31.143018",5128,121.312365,31.143018,hotel
B0L1O1PJRZ,Mercure Hotel(沪松公路店),100100,沪亭路与沪松公路辅路交叉口东40米,"121.322095,31.138842","121.317573,31.140826",5128,121.317573,31.140826,hotel
B0M69DAG54,九亭U天地魔都里公寓,100100,蒲汇路168号(近沪松公路)九亭U天地,"121.325725,31.139825","121.321195,31.141802",5128,121.321195,31.141802,hotel
B0L2R5MH2S,暖居小墅,100200,九里亭路与沪亭北路交叉口西南160米,"121.317725,31.141375","121.313213,31.143366",5128,121.313213,31.143366,hotel
B0FFGYPZQI,青年商务酒店,100100,九亭镇沪松公路1399弄255号,"121.32189,31.138424","121.317369,31.140409",5128,121.317369,31.140409,hotel
B0MAMX7VOK,猫咪喜澡寄养酒店(九亭店),100100,沪亭北路99弄九亭金地广场(九亭地铁站4号口步行310米),"121.318152,31.139465","121.313639,31.141457",5128,121.313639,31.141457,hotel
B0L1YMDU2X,九阁公寓,100200,沪松公路辅路与沪亭路交叉口南200米,"121.321225,31.136875","121.316706,31.138862",5128,121.316706,31.138862,hotel
B0LBO9C1ED,沪家公寓,100200,沪松公路辅路与九新公路交叉口东240米,"121.317625,31.136225","121.313114,31.138219",5128,121.313114,31.138219,hotel
B0LRB6N0PH,喜悦公馆,100200,蒲汇路168号(近沪松公路)九亭U天地,"121.325025,31.140375","121.320497,31.142353",5128,121.320497,31.142353,hotel
B0LB31B0HZ,安家公寓,100200,沪松公路辅路与沪亭北路交叉口西南300米,"121.319625,31.136475","121.315109,31.138465",5128,121.315109,31.138465,hotel
B0IRSRI0SK,轻住·艾森轻奢酒店(上海九亭地铁站店),100100,青春驿站西南门西北70米,"121.31626,31.135248","121.311752,31.137245",5128,121.311752,31.137245,hotel
B0LURO526E,未知客栈(九亭地铁站店),100200,沪亭路与蒲汇支路交叉口西南200米,"121.321426,31.136944","121.316906,31.138931",5128,121.316906,31.138931,hotel
B00155Q8E6,浦东商场(南汇店),060102,东门大街200号,"121.760188,31.047053","121.755832,31.049167",10451,121.755832,31.049167,mall
B00156DY36,莎海国际酒店,100103|050000,"惠南镇城南路630号(近南祝路沪南公路口,野生动物园/迪士尼/浦东机场)","121.764176,31.041576","121.759824,31.043695",10451,121.759824,31.043695,hotel
B00150A37D,观海商场,060102,惠南镇东门大街4号亭子间,"121.761916,31.046789","121.757562,31.048904",10451,121.757562,31.048904,mall
B0FFFVN960,海上小屋酒店(上海野生动物园惠南地铁站店),100105,惠南镇城东路23号,"121.76305,31.044743","121.758697,31.046860",10451,121.758697,31.04686,hotel
B0FFGMX0M5,海燕商场,060102,东门大街141号,"121.759935,31.046415","121.755579,31.048529",10451,121.755579,31.048529,mall
